measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2019,454.44830005938,640.44432399364,254.76466352039
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2010,0.0742820168672007,0.1649629470387453,0.0244333547345253
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2010,165.11542141758,371.20807849151,54.3998908451
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2011,0.0744139109837935,0.1469919937917818,0.0278037777056768
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2011,167.56616088999002,326.30569045898,63.56447958759
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2012,0.0744184065806578,0.1363657898343346,0.0310309196918943
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2012,169.38259653275,304.25062260121,69.55677958761
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2013,0.074537742105586,0.1364468674218388,0.0319433317015036
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2013,170.74261248815,314.90207691825,71.91734222061
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2014,0.0747906162673537,0.1424912089683063,0.031043956349796
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2014,172.04452147791,329.52228285078,70.37490492243
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2015,0.0749996047041806,0.1563329636723386,0.0269740846446472
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2015,173.18744555423,373.36816451078,62.93833538048
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2016,0.0763848930778031,0.1411962782992279,0.0339817590811515
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2016,176.72951727094,344.98554307975996,76.83591897752001
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2017,0.0791323466418191,0.1398217102670351,0.0340693630781492
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2017,183.45661697805,345.12959016356,78.94614730048
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2018,0.0817487700690931,0.1564542389072686,0.0328420974123713
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2018,189.36003782247002,375.96798454934,77.14955757321
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2019,0.0829972783572104,0.1825250648266637,0.0275960563148283
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2019,191.86589191266,437.56951140965003,62.59381410837
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2010,0.2647158148094861,0.3346166946184932,0.1711697991568473
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Rate,2010,479.85351022214,617.74561596675,302.96644736092003
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Chronic respiratory diseases,Ambient particulate matter pollution,Percent,2011,0.2773774164715744,0.3452184932399491,0.1831695804982165
