measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,South Africa,Both,Age-standardized,COVID-19,Rate,2020,263.9185531851171,264.07453074157985,263.68434305207046
Deaths,Argentina,Both,Age-standardized,COVID-19,Rate,2020,77.02517191260883,79.8299519388447,74.34374666931598
Deaths,Sri Lanka,Both,Age-standardized,COVID-19,Rate,2020,2.3453511055985388,2.3453511055985348,2.3453511055985348
Deaths,American Samoa,Both,Age-standardized,COVID-19,Rate,2020,1.3398019052210745e-08,1.3398019052210854e-08,1.3398019052210854e-08
Deaths,Thailand,Both,Age-standardized,COVID-19,Rate,2020,0.7264460894156749,1.482660804279817,0.1673705833713148
Deaths,Bermuda,Both,Age-standardized,COVID-19,Rate,2020,7.595383523234853,9.45101676434187,6.147967621467269
Deaths,Bhutan,Both,Age-standardized,COVID-19,Rate,2020,8.194634768808407e-10,8.194634768808458e-10,8.194634768808458e-10
Deaths,Morocco,Both,Age-standardized,COVID-19,Rate,2020,141.3745701237679,166.47907210145834,113.19972262919387
Deaths,Iceland,Both,Age-standardized,COVID-19,Rate,2020,5.76586802443921,6.782179327457773,4.900753454239647
Deaths,Sao Tome and Principe,Both,Age-standardized,COVID-19,Rate,2020,76.32044395108385,83.91230555722409,69.0637001925819
Deaths,Honduras,Both,Age-standardized,COVID-19,Rate,2020,175.42995878803978,200.1740871371765,148.2593676379383
Deaths,Jamaica,Both,Age-standardized,COVID-19,Rate,2020,9.730157623813266,9.742823976194677,9.718119243101748
Deaths,Lesotho,Both,Age-standardized,COVID-19,Rate,2020,266.3781591202179,293.6283035592152,237.7888280996371
Deaths,Mauritania,Both,Age-standardized,COVID-19,Rate,2020,142.04779629563808,169.07746645165327,108.4222058806563
Deaths,Palestine,Both,Age-standardized,COVID-19,Rate,2020,64.34253629827064,64.27567751580943,64.22076941730049
Deaths,Nicaragua,Both,Age-standardized,COVID-19,Rate,2020,196.15822061606926,228.22348882963541,161.2000066907816
Deaths,Tuvalu,Both,Age-standardized,COVID-19,Rate,2020,5.621633409092035e-08,5.621633409092008e-08,5.621633409092008e-08
Deaths,Chile,Both,Age-standardized,COVID-19,Rate,2020,84.14426926864715,87.93820821194178,80.4576480811825
Deaths,Ethiopia,Both,Age-standardized,COVID-19,Rate,2020,150.90430725047545,163.14886467252654,140.0308999439354
Deaths,Mexico,Both,Age-standardized,COVID-19,Rate,2020,224.20498373376228,268.85870184891405,182.9879622704149
Deaths,Uruguay,Both,Age-standardized,COVID-19,Rate,2020,3.354822758251324,3.354822758251341,3.354822758251341
Deaths,Belarus,Both,Age-standardized,COVID-19,Rate,2020,115.4563380859017,143.7819849786035,91.10998901575685
Deaths,Mongolia,Both,Age-standardized,COVID-19,Rate,2020,0.06421047136492657,0.11730734772536709,0.028583471234515292
Deaths,Eswatini,Both,Age-standardized,COVID-19,Rate,2020,413.5221595360601,460.52916344619206,378.79637667347595
Deaths,Malawi,Both,Age-standardized,COVID-19,Rate,2020,104.0765175991519,114.71376872082185,94.6776640752863
Deaths,Saint Lucia,Both,Age-standardized,COVID-19,Rate,2020,16.62926666815676,28.810325643395622,7.292479511433556
Deaths,Republic of Korea,Both,Age-standardized,COVID-19,Rate,2020,1.464697355796923,2.314974184831345,0.9567640428013481
Deaths,Poland,Both,Age-standardized,COVID-19,Rate,2020,73.26907888285801,92.94170048558313,58.563515692718404
Deaths,Senegal,Both,Age-standardized,COVID-19,Rate,2020,148.29178260408688,161.0884126371725,123.97347612898564
Deaths,Ireland,Both,Age-standardized,COVID-19,Rate,2020,27.961144248662798,30.398456982338963,25.640525585708847
Deaths,Madagascar,Both,Age-standardized,COVID-19,Rate,2020,214.4621592400516,231.70315747816096,197.84012374067603
Deaths,Niger,Both,Age-standardized,COVID-19,Rate,2020,159.694255227812,182.1441777046335,142.9200162371462
Deaths,Marshall Islands,Both,Age-standardized,COVID-19,Rate,2020,2.7877487903531476e-08,2.7877487903531274e-08,2.7877487903531274e-08
Deaths,India,Both,Age-standardized,COVID-19,Rate,2020,92.23580004941927,97.61323932085962,86.60651957911696
Deaths,Saint Vincent and the Grenadines,Both,Age-standardized,COVID-19,Rate,2020,0.0018821151477489684,0.0029760654977779755,0.0009869956103898034
Deaths,Canada,Both,Age-standardized,COVID-19,Rate,2020,39.43262217464939,41.65560718121392,37.11095529410871
Deaths,Kazakhstan,Both,Age-standardized,COVID-19,Rate,2020,153.20938496588974,195.767361748785,110.0269735655045
Deaths,Slovakia,Both,Age-standardized,COVID-19,Rate,2020,42.25701912256075,67.1561670444248,20.51243667559803
Deaths,Panama,Both,Age-standardized,COVID-19,Rate,2020,110.52367299807582,138.89435914125914,83.5206367911916
Deaths,Fiji,Both,Age-standardized,COVID-19,Rate,2020,12.19020838139958,25.435977652057115,3.0252042660849687
Deaths,Oman,Both,Age-standardized,COVID-19,Rate,2020,169.27016886479757,183.92506766873512,152.8914107091126
Deaths,Cook Islands,Both,Age-standardized,COVID-19,Rate,2020,3.091067240434698e-08,3.091067240434676e-08,3.091067240434676e-08
Deaths,Burkina Faso,Both,Age-standardized,COVID-19,Rate,2020,152.10355981394034,165.04400104952302,136.39802568596363
Deaths,Pakistan,Both,Age-standardized,COVID-19,Rate,2020,198.89527279897752,211.845206276696,184.7146249121661
Deaths,Singapore,Both,Age-standardized,COVID-19,Rate,2020,0.3654898934894531,0.38685539244745715,0.34456742972310317
Deaths,Luxembourg,Both,Age-standardized,COVID-19,Rate,2020,45.02228048705468,54.99211159602832,35.64421774640735
Deaths,Norway,Both,Age-standardized,COVID-19,Rate,2020,4.142019081398421,4.448139526703745,3.864250329610866
Deaths,South Sudan,Both,Age-standardized,COVID-19,Rate,2020,244.61559618723714,273.4057213782745,209.14762230755335
Deaths,Zimbabwe,Both,Age-standardized,COVID-19,Rate,2020,234.35682145284687,262.11934459289273,201.0266811516891
Deaths,Syrian Arab Republic,Both,Age-standardized,COVID-19,Rate,2020,52.376890016814755,64.07964188671575,39.13401224765153
Deaths,Qatar,Both,Age-standardized,COVID-19,Rate,2020,76.89660812792661,90.89225712943549,56.85412747444032
Deaths,Australia,Both,Age-standardized,COVID-19,Rate,2020,1.942649698612613,2.028273414663534,1.8446253652080546
Deaths,Kyrgyzstan,Both,Age-standardized,COVID-19,Rate,2020,137.49007275957243,170.13461121249478,98.17499098530006
Deaths,Nepal,Both,Age-standardized,COVID-19,Rate,2020,118.25969264438557,128.61115770457042,81.0115105608781
Deaths,Brazil,Both,Age-standardized,COVID-19,Rate,2020,83.38516236883054,90.77122973015848,77.14438599066519
Deaths,United States of America,Both,Age-standardized,COVID-19,Rate,2020,76.82071036902822,79.72822113001088,74.0747554990685
