Country,PM2.5,All-cause DALYs,SDI,SDI_category
Democratic People's Republic of Korea,53.340999999999994,886.7054743272711,0.5540204071973286,Medium
Democratic Republic of the Congo,31.871,512.02972956327,0.3261146163972883,Low
Denmark,10.821000000000002,345.658967831137,0.8782787810477231,Very High
Djibouti,20.541,2243.844979060962,0.4442550293256947,Low
Dominica,8.382000000000001,1500.387509657209,0.7212165921412862,High
Dominican Republic,7.6739999999999995,1547.813402213136,0.5904352267596817,Medium
Ecuador,17.266,1003.157665187616,0.6227569737294278,High
Egypt,61.553999999999995,6160.365242777385,0.5405027775496917,Medium
El Salvador,26.182,931.30210035454,0.5277339255338445,Medium
Equatorial Guinea,25.604000000000003,2928.972913441818,0.6056047714899869,Medium
Eritrea,22.526,1062.053414756456,0.3731821615494787,Low
Estonia,7.087999999999999,258.612801134241,0.8206930817054993,Very High
Eswatini,14.859,2435.124237929381,0.5521902529053169,Medium
Ethiopia,22.129,465.76800472224403,0.3038449362883031,Low
Fiji,7.272,1657.4279934926667,0.6434582028874961,High
Finland,6.003,107.11187604208901,0.8398062379523633,Very High
France,12.372,275.80327422670297,0.8184058986507438,Very High
Gabon,25.749000000000002,2809.767368118668,0.5855694200399854,Medium
Gambia,38.706,1304.070764106345,0.3730426699616797,Low
Georgia,22.669,1337.8953015684351,0.8251145534358137,Very High
Germany,12.849,443.14425831754295,0.8886702592998326,Very High
Ghana,46.719,2044.1309901021718,0.5169247798898065,Medium
Greece,16.701,761.149930529221,0.7822396680107899,Very High
Grenada,10.128,1819.1832846119341,0.6374510185939475,High
Guatemala,24.822,1195.5340862372461,0.49817308004719474,Medium
Guinea,37.827,1290.001895015559,0.2905057500115057,Low
Guinea-Bissau,34.938,1543.3698281542588,0.31548119865831736,Low
Guyana,11.097,2514.251810440193,0.60590014091925,Medium
Haiti,9.854,641.228192877694,0.42915595394813516,Low
Honduras,22.294999999999998,943.0566998738819,0.4789306877378599,Medium
Hungary,17.441,1229.132856926136,0.7748259655333475,Very High
Iceland,6.298,94.89395445184799,0.856395439585596,Very High
India,54.54600000000001,2304.641508142288,0.5147694363522474,Medium
Indonesia,19.61,1531.6823322969199,0.6178429942641308,High
Iran (Islamic Republic of),30.125999999999998,2100.508053778613,0.6626100822672542,High
Iraq,38.738,3695.0931445037604,0.5935968560849832,Medium
Ireland,8.988,252.68092173601198,0.8467194885694737,Very High
Israel,21.337,599.517626784707,0.7880909188249285,Very High
Italy,17.298000000000002,465.535293747034,0.7892377748890275,Very High
Jamaica,15.124,930.2280329962119,0.6603267929322625,High
Japan,12.625,280.374449715816,0.8552797610937688,Very High
Jordan,25.064,1857.6237821723819,0.6889930086403258,High
Kazakhstan,30.885,2239.4287723245643,0.7052788940132062,High
Kenya,12.482,557.214109655702,0.4696452537712014,Medium
Kiribati,7.551,415.102269601005,0.4992388254522889,Medium
Kuwait,65.13199999999999,2068.342730243234,0.8133341743689805,Very High
Kyrgyzstan,44.673,1305.021216077445,0.5742584229408373,Medium
Lao People's Democratic Republic,21.163999999999998,1276.542473518705,0.4483861878744585,Low
Latvia,13.821000000000002,999.6763765380259,0.8086235110449934,Very High
Lebanon,23.970999999999997,1264.035502092755,0.7107505184352132,High
Lesotho,17.762999999999998,1209.8989771364081,0.47615132219254797,Medium
Liberia,35.047,809.878878105136,0.3135332273353255,Low
Libya,29.698,2696.290382291112,0.7137192750540253,High
Lithuania,11.754,792.414833802465,0.8211336113832649,Very High
Luxembourg,10.626999999999999,290.07319277325803,0.8678439781238833,Very High
Madagascar,16.294999999999998,375.945523897746,0.3485857974110117,Low
Malawi,18.702,466.371521862374,0.3311382154717682,Low
Malaysia,21.669999999999998,1479.588668475055,0.7118985769713696,High
Maldives,12.867,678.627065949045,0.6139132637241562,High
Mali,39.126999999999995,1458.165643522559,0.2277498769696972,Low
Malta,14.267000000000001,531.280733035473,0.7753967770341643,Very High
Marshall Islands,7.151000000000001,948.681352683196,0.5393059958136008,Medium
Mauritania,41.769999999999996,2129.753116649742,0.45193695364037234,Low
Mauritius,10.578999999999999,710.0097576350701,0.687490572817061,High
Mexico,21.268,1102.293696626746,0.6260672736489585,High
Micronesia (Federated States of),7.579000000000001,944.054991865057,0.5657651271310496,Medium
Monaco,10.484,410.17264766871205,0.8973566629882124,Very High
Mongolia,47.101,2400.0345476786592,0.5936806274927058,Medium
Montenegro,23.608,1723.752974926516,0.7674632569771808,Very High
Morocco,13.378,2477.1674849354104,0.5117046676968487,Medium
Mozambique,16.526,490.948737902978,0.2781223971631461,Low
Myanmar,27.49,1572.739488309448,0.4930424728948738,Medium
Namibia,11.943999999999999,1990.7414409365272,0.5841649169835633,Medium
Nauru,7.4079999999999995,974.7858906006861,0.5746475058529051,Medium
Nepal,39.32899999999999,1518.518473087946,0.39040174486825163,Low
Netherlands,12.803,416.797960307494,0.8730735598523935,Very High
New Zealand,7.731,147.406957858852,0.8254645360504849,Very High
