DALY Outcome,Model,R²,RMSE
All-cause DALYs,Linear Regression,0.4862756994226426,646.6780688321445
All-cause DALYs,Random Forest,0.7882875391595378,415.1416317771571
Cardiovascular DALYs,Linear Regression,0.45978940995151574,460.6270554321077
Cardiovascular DALYs,Random Forest,0.7910308265698545,286.48969743373686
Stroke DALYs,Linear Regression,0.4592273671188787,149.28544022163115
Stroke DALYs,Random Forest,0.7359445863448629,104.31761242500629
Respiratory DALYs,Linear Regression,0.3484670556043584,65.79083075088782
Respiratory DALYs,Random Forest,0.6524707484599485,48.04994142962196
