Country,age,metric,year,COVID Deaths Val,upper,lower
Spain,15-49 years,Rate,2020,10.472980693195073,11.087217234812822,9.876074329952967
Indonesia,15-49 years,Rate,2020,10.159490506383984,20.825411318958167,3.3183289370996536
Mexico,15-49 years,Rate,2020,57.01969616104186,70.94697344083018,44.1817286251881
Russian Federation,15-49 years,Rate,2020,18.195048467081733,22.06936676812212,14.809403392571197
Chile,15-49 years,Rate,2020,17.427140443783042,18.27550029366041,16.5827747118633
Afghanistan,15-49 years,Rate,2020,67.64314663008975,90.4546793457522,51.0688912957526
South Africa,15-49 years,Rate,2020,54.933362541418894,54.955219163982406,54.89835859062428
Bangladesh,15-49 years,Rate,2020,18.63896205737572,25.122020218254107,15.987976926188765
Canada,15-49 years,Rate,2020,11.392234347795462,12.087162161041146,10.701911422543082
India,15-49 years,Rate,2020,18.61817241782217,19.67109573815916,17.52064923751279
Republic of Korea,15-49 years,Rate,2020,0.2396678241008525,0.3786868434056902,0.1553300509547227
Ethiopia,15-49 years,Rate,2020,24.108445879925178,26.069179771832285,22.386504697237346
Nigeria,15-49 years,Rate,2020,18.01858161392797,19.728041993043835,16.611753592261444
Fiji,15-49 years,Rate,2020,2.641566807886684,5.51776530910519,0.6545063574758788
Germany,15-49 years,Rate,2020,3.46834901203918,3.8766124127608177,3.187288662373497
United States of America,15-49 years,Rate,2020,33.359688397976925,34.66346005791911,32.05848855339078
Kenya,15-49 years,Rate,2020,42.76239618865506,46.48391482470454,39.44860763706212
Japan,15-49 years,Rate,2020,0.1896470243947765,0.2116848568071525,0.1706402244330183
Australia,15-49 years,Rate,2020,0.231633684315919,0.2437596042066832,0.2173099434477786
Brazil,15-49 years,Rate,2020,21.901328206611137,23.845813383266727,20.23479579227461
Romania,15-49 years,Rate,2020,18.02352647984341,26.29257100085267,10.591083526781118
Italy,15-49 years,Rate,2020,8.201798959897065,8.677591654210586,7.719719642393612
Saudi Arabia,15-49 years,Rate,2020,17.390041538486138,20.61032534319353,13.67762303503422
China,15-49 years,Rate,2020,0.3068649731953291,1.600954045747828,0.0698686573534908
Egypt,15-49 years,Rate,2020,26.04384681687202,34.42690323695114,17.96811023175548
