Country,metric,year,COVID Deaths Val,upper,lower
Spain,Percent,2020,0.1250907735075067,0.1306786752983195,0.1188142511182992
Spain,Rate,2020,132.94863888832154,139.13107482556748,126.39529862034424
Spain,Percent,2020,0.1480883925179082,0.1565466484824816,0.1396777684994926
Spain,Rate,2020,10.472980693195073,11.087217234812822,9.876074329952967
Fiji,Percent,2021,0.1213799740749814,0.2345113604451281,0.0636966729371496
Fiji,Rate,2021,124.30105232778038,246.76347699868228,75.3110899042616
Fiji,Percent,2021,0.1230642374710204,0.2360289837614498,0.0641484694478191
Fiji,Rate,2021,38.86828298509213,77.22013579790885,23.558042129034764
Indonesia,Percent,2020,0.046377742621831,0.091084989745853,0.0151145723885366
Indonesia,Rate,2020,32.66731658767365,67.05438075018706,10.621371597885522
Indonesia,Percent,2020,0.0499061376613771,0.0967873165089858,0.0161500546626484
Indonesia,Rate,2020,10.159490506383984,20.825411318958167,3.3183289370996536
China,Percent,2021,9.170442215509476e-05,0.0003320497854356,7.303893605064585e-06
China,Rate,2021,0.0747041830796572,0.2828000127164385,0.0060046003698948
China,Percent,2021,4.6553542070144766e-05,0.0001627591362415,3.622992513567581e-06
China,Rate,2021,0.0055518039618245,0.0200526879311271,0.0004372954801705
Australia,Percent,2021,0.0195107109631054,0.0229266569338483,0.0157962070129875
Australia,Rate,2021,13.253704472398075,15.534149131607329,10.739786782633384
Australia,Percent,2021,0.017440274238415,0.0204720561088084,0.0141415526579383
Australia,Rate,2021,1.4305547688697868,1.676677956468578,1.1592285090166905
Spain,Percent,2021,0.0877430817732621,0.0908645718119084,0.0841082079823738
Spain,Rate,2021,85.81686594445745,88.6982271878134,82.58488194593444
Spain,Percent,2021,0.1244554763315069,0.1300480470214148,0.1184786404501886
Spain,Rate,2021,8.807386484786601,9.211047139686146,8.408360612064074
Mexico,Percent,2020,0.2511904129605203,0.3010928900465376,0.2045653993292363
Mexico,Rate,2020,212.12286969275576,254.596607117723,172.99276785572152
Mexico,Percent,2020,0.2056102797092164,0.255843457777738,0.1594239217418461
Mexico,Rate,2020,57.01969616104186,70.94697344083018,44.1817286251881
Russian Federation,Percent,2020,0.0778271065211054,0.0886903377032839,0.0675685282197514
Russian Federation,Rate,2020,112.22262898689684,127.89484270654756,97.39192601375314
Russian Federation,Percent,2020,0.0529820300185656,0.0642794651328253,0.0431535641829626
Russian Federation,Rate,2020,18.195048467081733,22.06936676812212,14.809403392571197
Chile,Percent,2020,0.1694455223097943,0.1770027522243449,0.1619435510756737
Chile,Rate,2020,112.95868489361132,118.06204026503823,108.00838610174942
Chile,Percent,2020,0.1520148642575058,0.1591493705112906,0.1447269545651821
Chile,Rate,2020,17.427140443783042,18.27550029366041,16.5827747118633
Afghanistan,Percent,2020,0.1368129621556361,0.1845406724503008,0.1000125940491183
Afghanistan,Rate,2020,112.96994366714992,150.72004611552816,85.35455359360262
Afghanistan,Percent,2020,0.1295362225925213,0.1774582129181939,0.0918296439398594
Afghanistan,Rate,2020,67.64314663008975,90.4546793457522,51.0688912957526
South Africa,Percent,2020,0.1647063352834052,0.1689908336877064,0.1605727989251157
South Africa,Rate,2020,191.8139489716956,191.94080464461936,191.61484124575173
South Africa,Percent,2020,0.0886840418058978,0.0916129524013276,0.0854201236282718
South Africa,Rate,2020,54.933362541418894,54.955219163982406,54.89835859062428
Bangladesh,Percent,2020,0.1153852679504089,0.1549376651635537,0.0902469919604382
Bangladesh,Rate,2020,74.25486178181218,100.06615911592222,63.662496244780215
Bangladesh,Percent,2020,0.1227479718259671,0.1667302448714713,0.0941583808136122
Bangladesh,Rate,2020,18.63896205737572,25.122020218254107,15.987976926188765
Mexico,Percent,2021,0.2434204558918067,0.3137288583861461,0.1815595312176378
Mexico,Rate,2021,209.88743484506733,269.7354999007185,156.6487667704974
Mexico,Percent,2021,0.2276259891726832,0.2987628821979066,0.1660557828234987
Mexico,Rate,2021,66.41206699361565,87.21962586266336,48.41248688120753
South Africa,Percent,2021,0.2040664740792397,0.2102769460423153,0.1982859493000955
South Africa,Rate,2021,263.2503146119888,263.61615123653115,262.8100400850001
South Africa,Percent,2021,0.1169543145035299,0.1216476890892515,0.1122862174378622
South Africa,Rate,2021,78.65668575582752,78.74696075273285,78.56083119599127
Canada,Percent,2020,0.0949781896411164,0.1001472101602483,0.0895903887448067
Canada,Rate,2020,80.08132654925663,84.45913508473951,75.43375053703917
Canada,Percent,2020,0.1031136711822597,0.1089416971641972,0.0971671923526006
Canada,Rate,2020,11.392234347795462,12.087162161041146,10.701911422543082
India,Percent,2020,0.0903649591715642,0.0977827916046732,0.0821034459208865
India,Rate,2020,68.6771185506763,72.66079819100513,64.50467827413775
India,Percent,2020,0.0868947701805884,0.0944453526172717,0.0788320945161628
India,Rate,2020,18.61817241782217,19.67109573815916,17.52064923751279
Egypt,Percent,2021,0.1551880366822783,0.2049674857334592,0.1015254759787769
Egypt,Rate,2021,103.96988609236828,134.62148530750758,68.96838754624139
Egypt,Percent,2021,0.2074053966349161,0.2721463720092237,0.1388819129954211
Egypt,Rate,2021,39.630329773954486,51.35934508336006,26.31299625956633
Republic of Korea,Percent,2020,0.004192490245367,0.0066355328533538,0.0027459887873891
Republic of Korea,Rate,2020,2.4454652263131464,3.86506591874109,1.5961472550392886
Republic of Korea,Percent,2020,0.0030257643727112,0.0047930319538192,0.0019724226916848
Republic of Korea,Rate,2020,0.2396678241008525,0.3786868434056902,0.1553300509547227
Republic of Korea,Percent,2021,0.0305095173955632,0.0337863256320034,0.027871359617808
