Country,COVID_Deaths_Rate,upper,lower
Spain,54.13403822289378,56.58406838248469,51.43939336032327
Belgium,74.19978244527651,76.8294478002986,71.68123236139513
Samoa,3.247489872903345e-09,3.2474898729033766e-09,3.2474898729033766e-09
Papua New Guinea,21.442570880213434,47.69250870348751,3.794842180590001
Republic of Moldova,68.89802150618611,87.9921900400722,48.23897655933903
Maldives,17.160479662511193,29.555226792868844,10.761363850575592
Latvia,23.479147934805304,48.79552476464061,12.005673402982865
Czechia,59.35350757510456,81.78778391333215,40.08980170595547
Zambia,197.65440169719776,223.88734290985343,173.10587575909284
Colombia,90.12894852177097,110.78239207118698,69.20019709962675
Russian Federation,69.45514154818149,79.2855663580338,60.14635827113438
Denmark,10.170762749184272,10.760423056227523,9.527820483233508
Lithuania,70.4565126978709,100.56458670283982,41.67468739093098
Tonga,5.315238975991669e-09,5.315238975991625e-09,5.315238975991625e-09
Myanmar,30.09957859558973,60.79263349010643,11.956806994476365
Palau,4.7374836891028586e-08,4.737483689102816e-08,4.737483689102816e-08
Sweden,36.971113576276,40.24831541257159,33.65585199547093
Solomon Islands,1.972574514752666e-09,1.972574514752663e-09,1.972574514752663e-09
Malaysia,1.5940456061545965,2.402269633264769,0.8478579271202702
Bulgaria,112.08067670131656,153.63554915221258,63.604993413235626
Lao People's Democratic Republic,1.0900005978929419e-10,1.0900005978929468e-10,1.0900005978929468e-10
Iraq,239.15613090254436,282.1034856700245,200.45619814439536
Costa Rica,41.69029561299895,57.46337303989721,28.477190432763464
France,36.46820608616312,38.59643253887537,34.3264787155521
Liberia,145.60660552151356,176.6345744250469,127.9534883465386
Botswana,69.260645857113,78.98152999475634,61.21979227613313
Jordan,117.38204569936964,151.23318481400057,76.22885253640744
Croatia,45.65949890243776,64.15863913650622,30.47068863952932
Guinea,226.5649027351168,273.34427740091365,189.4245317267116
Djibouti,222.9352425229382,269.4244238987954,171.16806383748954
Finland,5.817382208237205,9.412183230231989,4.031054356921432
Dominican Republic,42.99729584757124,84.49346798051805,18.19956299157341
Comoros,66.73734006030452,73.75974088650301,61.75714334313566
Armenia,127.90075310042276,163.24282811408932,88.67191101758173
Kuwait,75.14096707969537,96.49232560775528,53.695408789762645
Puerto Rico,21.05975270634321,32.46721138084244,12.742174824384724
Romania,79.00401338233412,110.39430374256509,49.234974346447615
Switzerland,36.599730214218695,39.23699306909403,34.45496261518803
Grenada,5.796544329462618e-09,5.796544329462628e-09,5.796544329462628e-09
Mali,226.54435579800676,246.06984902641048,203.9605247831481
San Marino,72.00009799387647,104.79298641812566,48.2875052558652
Eritrea,33.528677151029555,65.32524054542638,24.952478224792188
Timor-Leste,6.164156655386084e-10,6.164156655386058e-10,6.164156655386058e-10
El Salvador,70.95568307518352,83.28927924776103,58.80983806712084
Afghanistan,400.8533893881371,535.761411518057,302.67596680887107
Tokelau,4.125557495405158e-07,4.1255574954051356e-07,4.1255574954051356e-07
Sudan,170.99576180954068,209.5973971253382,125.99064212806849
Lebanon,105.20161894244944,122.015272711918,90.5413728300966
Israel,26.10421553597989,27.4934290906386,24.80041812286288
Brunei Darussalam,4.914595737890273,20.2371179016086,0.6450759985763135
Montenegro,95.03412097288714,119.44402131175534,75.44849701579933
Guyana,110.43354726628895,192.7699313032242,47.74733758273171
Greece,18.634126863822,19.61539849415855,17.738987013389206
South Africa,263.9185531851171,264.07453074157985,263.68434305207046
Argentina,77.02517191260883,79.8299519388447,74.34374666931598
Sri Lanka,2.3453511055985388,2.3453511055985348,2.3453511055985348
American Samoa,1.3398019052210745e-08,1.3398019052210854e-08,1.3398019052210854e-08
Thailand,0.7264460894156749,1.482660804279817,0.1673705833713148
Bermuda,7.595383523234853,9.45101676434187,6.147967621467269
Bhutan,8.194634768808406e-10,8.194634768808457e-10,8.194634768808457e-10
Morocco,141.3745701237679,166.47907210145834,113.19972262919389
Iceland,5.76586802443921,6.782179327457773,4.900753454239647
Sao Tome and Principe,76.32044395108385,83.91230555722409,69.0637001925819
Honduras,175.42995878803978,200.1740871371765,148.2593676379383
Jamaica,9.730157623813266,9.742823976194677,9.718119243101748
Lesotho,266.3781591202179,293.6283035592152,237.7888280996371
Mauritania,142.04779629563808,169.0774664516533,108.4222058806563
Palestine,64.34253629827064,64.27567751580943,64.22076941730049
Nicaragua,196.1582206160693,228.2234888296354,161.2000066907816
Tuvalu,5.621633409092036e-08,5.6216334090920086e-08,5.6216334090920086e-08
Chile,84.14426926864715,87.93820821194178,80.4576480811825
Ethiopia,150.90430725047543,163.14886467252654,140.0308999439354
Mexico,224.20498373376228,268.85870184891405,182.9879622704149
Uruguay,3.354822758251324,3.354822758251341,3.354822758251341
Belarus,115.4563380859017,143.7819849786035,91.10998901575684
Mongolia,0.0642104713649265,0.117307347725367,0.0285834712345152
Eswatini,413.5221595360601,460.52916344619206,378.796376673476
Malawi,104.0765175991519,114.71376872082185,94.6776640752863
Saint Lucia,16.62926666815676,28.810325643395625,7.292479511433556
Republic of Korea,1.464697355796923,2.314974184831345,0.956764042801348
Poland,73.26907888285801,92.94170048558313,58.5635156927184
Senegal,148.29178260408688,161.0884126371725,123.97347612898564
Ireland,27.9611442486628,30.398456982338963,25.640525585708847
Madagascar,214.4621592400516,231.70315747816096,197.84012374067603
Niger,159.694255227812,182.1441777046335,142.9200162371462
Marshall Islands,2.787748790353148e-08,2.7877487903531277e-08,2.7877487903531277e-08
India,92.23580004941928,97.61323932085962,86.60651957911696
Saint Vincent and the Grenadines,0.0018821151477489,0.0029760654977779,0.0009869956103898
