Country,COVID_Deaths_Rate,upper,lower,Mean_PM25_2010_2019,Year,SDI_mean_value
Poland,73.26907888285801,92.94170048558313,58.5635156927184,23.185,2020,0.808795317506383
Senegal,148.29178260408688,161.0884126371725,123.97347612898564,38.364,2020,0.401197515620742
Ireland,27.9611442486628,30.398456982338963,25.640525585708847,8.988,2020,0.871958822388357
Madagascar,214.4621592400516,231.70315747816096,197.84012374067603,16.294999999999998,2020,0.392778708989164
Niger,159.694255227812,182.1441777046335,142.9200162371462,50.415,2020,0.164539264581005
Marshall Islands,2.787748790353148e-08,2.7877487903531277e-08,2.7877487903531277e-08,7.151000000000001,2020,0.568837509186186
India,92.23580004941928,97.61323932085962,86.60651957911696,54.54600000000001,2020,0.568138149330912
Saint Vincent and the Grenadines,0.0018821151477489,0.0029760654977779,0.0009869956103898,9.534,2020,0.632860904072373
Canada,39.43262217464939,41.65560718121392,37.11095529410871,7.188,2020,0.871992631299453
Kazakhstan,153.20938496588974,195.767361748785,110.0269735655045,30.885,2020,0.722788768207953
Slovakia,42.25701912256075,67.1561670444248,20.51243667559803,19.410999999999998,2020,0.80830596588062
Panama,110.52367299807582,138.89435914125914,83.5206367911916,13.959999999999999,2020,0.703788489528527
Fiji,12.19020838139958,25.435977652057115,3.0252042660849687,7.272,2020,0.671431490601499
Oman,169.27016886479757,183.92506766873512,152.8914107091126,35.818,2020,0.768854215658189
Cook Islands,3.0910672404346986e-08,3.091067240434676e-08,3.091067240434676e-08,7.522,2020,0.774700577781853
Burkina Faso,152.10355981394034,165.04400104952302,136.39802568596363,41.332,2020,0.279871317215145
Pakistan,198.89527279897752,211.845206276696,184.7146249121661,55.15,2020,0.497364405611904
Singapore,0.3654898934894531,0.3868553924474571,0.3445674297231031,15.416,2020,0.854296009592945
Luxembourg,45.02228048705468,54.99211159602832,35.64421774640735,10.626999999999999,2020,0.882495316094676
Norway,4.142019081398421,4.448139526703745,3.864250329610866,6.94,2020,0.914529920283541
South Sudan,244.61559618723717,273.4057213782745,209.14762230755332,21.593,2020,0.276787923789994
Zimbabwe,234.35682145284687,262.1193445928928,201.0266811516891,13.169,2020,0.471573170735407
Syrian Arab Republic,52.37689001681476,64.07964188671575,39.13401224765153,24.726999999999997,2020,0.61772759307296
Qatar,76.89660812792661,90.89225712943548,56.85412747444032,62.363,2020,0.841467395353032
Australia,1.942649698612613,2.028273414663534,1.8446253652080544,7.478999999999999,2020,0.842051314482691
Kyrgyzstan,137.49007275957243,170.13461121249478,98.17499098530006,44.673,2020,0.600499553804348
Nepal,118.25969264438557,128.61115770457042,81.0115105608781,39.32899999999999,2020,0.427417089099115
Brazil,83.38516236883054,90.77122973015848,77.14438599066519,13.107,2020,0.649201568351328
United States of America,76.82071036902822,79.72822113001088,74.0747554990685,8.421,2020,0.860792773409847
Suriname,21.1471460277434,22.09403806291123,21.00258858273128,12.211,2020,0.630683705083472
Democratic People's Republic of Korea,2.0665458988782506,9.767841207375549,0.3802360281263355,53.340999999999994,2020,0.56818855103523
Turkmenistan,143.35091243127906,172.30639640556987,108.44957373966346,31.612000000000002,2020,0.678298179976148
Seychelles,5.400412177388446e-09,5.4004121773883995e-09,5.4004121773883995e-09,17.148,2020,0.726663769455011
Niue,3.293915742188915e-07,3.293915742188936e-07,3.293915742188936e-07,6.553,2020,0.722790249813625
Bahamas,114.54588577045692,167.61148238355486,52.66054984009955,5.306,2020,0.802948018163753
Equatorial Guinea,254.55935937000956,333.0591383952252,194.3640272806398,25.604000000000003,2020,0.652124902941809
Algeria,142.3791837979049,145.2587441754091,139.24083013088696,22.371000000000002,2020,0.65365146606094
Gambia,228.3008815207564,269.8762254165257,198.64216985043888,38.706,2020,0.40452419422916
Kiribati,1.0329498250015629e-08,1.0329498250015732e-08,1.0329498250015732e-08,7.551,2020,0.523454113096381
Malta,22.31724452520805,27.663934348889303,18.366130209372365,14.267000000000001,2020,0.798375166241004
Somalia,394.4299380517646,472.86954798138777,311.95169831758017,14.38,2020,0.0763633695596333
Bolivia (Plurinational State of),400.9468840743142,457.02551286160826,333.39923807011445,26.105,2020,0.594854443460131
Mauritius,0.5790815385020663,0.8571284998398487,0.3463284941078816,10.578999999999999,2020,0.714629803881546
Cameroon,120.7732808088397,130.0728602271869,112.26822499650498,56.202,2020,0.472285846440991
Slovenia,57.58976799623013,75.88248398723783,39.75540156407947,17.808,2020,0.840373845574037
Tunisia,51.62600186351795,90.64746609725664,38.70813471998518,26.395999999999997,2020,0.677615147910612
Albania,85.0526084083505,136.04399786327176,35.197797792404344,19.773,2020,0.703790245372837
Cambodia,4.933456898950212e-11,4.9334568989502387e-11,4.9334568989502387e-11,17.899,2020,0.468876053670987
Andorra,53.47687359490787,97.46095632052636,31.187848453470124,9.943000000000001,2020,0.867449169102346
Paraguay,42.96446401005885,64.73693849063662,24.86688730427256,14.299000000000001,2020,0.631057688560962
Central African Republic,397.1606103564672,531.7366369086498,262.8627771016302,28.012999999999998,2020,0.305426298180724
Uzbekistan,75.53150391762786,106.85551684232338,36.6898703032545,48.643,2020,0.659124204371032
Bahrain,103.98864085649038,119.25540861531562,85.9849105710899,53.818999999999996,2020,0.748103083095047
Angola,128.6477938729719,149.67808626416218,104.74485281357178,25.109,2020,0.447283991858922
Barbados,1.5907149384792445,1.5907149384792332,1.5907149384792332,9.899,2020,0.74436664552373
Mozambique,75.17580794655667,107.99634431582808,45.48124622075002,16.526,2020,0.320291181995807
Sierra Leone,150.9019699828823,177.47071959389095,131.3614461156724,39.524,2020,0.352412021842938
Monaco,8.977867344983583,28.93360364451532,2.7898404359989937,10.484,2020,0.90668543677348
Ghana,101.6525000592588,112.2839904614499,91.92362660378171,46.719,2020,0.558462173287852
Austria,37.88554250890373,40.05949621260709,35.83906560161023,13.524000000000001,2020,0.852020385174284
Gabon,186.78520370524743,203.2513910478372,171.56014298621915,25.749000000000002,2020,0.627609647280361
Ecuador,235.6033206554387,279.1405850355484,192.2075803117793,17.266,2020,0.65671445724893
Belize,99.80803017832874,118.4817506688676,82.2308484303655,10.591,2020,0.607060046133776
Cabo Verde,34.61788798557278,48.33823251061406,26.066830731479666,31.206,2020,0.528461594777472
Peru,283.3687455051966,355.6208870820239,221.93412677656144,29.540999999999997,2020,0.658672243500517
United Republic of Tanzania,139.4655932327368,151.16211472868872,128.79782588097126,15.419999999999998,2020,0.438747237740344
Egypt,144.03408361560952,190.3942910292303,99.394387168696,61.553999999999995,2020,0.597363341129599
Indonesia,46.125404674936696,94.75237270369112,14.877035007295436,19.61,2020,0.651926647922518
Bosnia and Herzegovina,74.05706035452855,101.8083515722998,48.10851616876873,31.915999999999997,2020,0.720202056378697
Vanuatu,3.989642706962643e-09,3.989642706962609e-09,3.989642706962609e-09,8.431000000000001,2020,0.470038390856612
Philippines,15.494063675784806,21.90564601163045,9.7952503359608,22.659,2020,0.644867233233664
Cyprus,8.809893766515808,23.081988366674544,4.796992823462956,15.663,2020,0.833059522677264
Cuba,4.4004117633543,19.69596079373256,0.5696381436171265,13.775,2020,0.665210747223401
Hungary,51.85282043552306,70.9440112395382,36.58950614448784,17.441,2020,0.787620389699141
Ukraine,34.61704015307594,71.4970446571977,10.997441124525622,15.122,2020,0.759929872218543
Azerbaijan,186.6887188453153,231.80271382782723,140.6843289453064,29.648000000000003,2020,0.692605192199032
Dominica,8.984878187665984e-09,8.984878187665925e-09,8.984878187665925e-09,8.382000000000001,2020,0.744419943891979
Iran (Islamic Republic of),86.79961411129729,101.1140483511538,73.1407378488807,30.125999999999998,2020,0.691918763371909
North Macedonia,158.05137181334422,201.1884387534656,111.74819160706308,30.842000000000002,2020,0.747849899969173
Viet Nam,0.7429362672118092,1.4221763178912552,0.1764704565337487,21.133000000000003,2020,0.623090320139283
China,1.4857566400828246,7.460812759956129,0.3158059575064428,49.782,2020,0.713364584593745
Georgia,83.56745047335886,106.6075039615654,58.857581103302266,22.669,2020,0.729125888954526
Burundi,88.03575718839289,96.96218434571428,81.18842961561806,28.067,2020,0.286496000475545
Germany,16.090848350329235,17.926572890326568,14.896399601710108,12.849,2020,0.901438614019463
Guatemala,118.40224354689076,156.23909861366684,83.57029371731909,24.822,2020,0.534571414248156
Japan,0.7836718283412081,0.8821412458691122,0.6984565116015038,12.625,2020,0.869106879336459
Bangladesh,100.59653022828272,135.57085929016725,86.25903824141454,49.53,2020,0.483079169271683
Guinea-Bissau,387.4817108798183,440.25379944330047,340.9037780124892,34.938,2020,0.347798997943486
Haiti,172.25293504891496,292.41388896001587,73.29954709609407,9.854,2020,0.446390613582292
Serbia,70.26266618842726,119.53032510111969,22.196949529681888,26.255000000000003,2020,0.789183332686432
Tajikistan,182.6253493687324,219.46314126385457,138.14818655181534,63.496,2020,0.537690530515565
Libya,104.68222782910948,120.90268601241854,83.39332659671152,29.698,2020,0.720270392863655
Micronesia (Federated States of),8.692908046322008e-09,8.69290804632208e-09,8.69290804632208e-09,7.579000000000001,2020,0.584527228769055
Namibia,139.187681950344,158.8649659709839,124.72249163861368,11.943999999999999,2020,0.614435889089058
Italy,49.66585556185517,51.46364816785148,47.70941062086766,17.298000000000002,2020,0.803635679966778
New Zealand,0.3140462531233894,0.3391231727702355,0.2912118099328547,7.731,2020,0.847398736836909
Kenya,228.4292005684743,248.2956605749804,210.7014898141063,12.482,2020,0.516136571818187
Venezuela (Bolivarian Republic of),168.58446648079698,182.9149016882752,153.2639732787991,19.384,2020,0.60003478118243
Estonia,11.31825852035735,27.44362175494039,5.880265617268035,7.087999999999999,2020,0.841817139147138
Trinidad and Tobago,37.15577602212383,64.27649192008892,15.81519615839253,10.347,2020,0.766422080818681
Nigeria,107.9273188686608,118.17466338636297,99.4742956439122,55.2,2020,0.496204741160216
Antigua and Barbuda,5.295727674824077,6.405254721809403,4.405789991874689,8.498999999999999,2020,0.746345330021488
Saudi Arabia,76.00557978559323,90.0854319678422,59.7683050062278,57.003,2020,0.810541860714478
Congo,185.8126360261653,209.4139406598578,147.89753221224746,29.580000000000002,2020,0.578451546357964
Benin,69.87884695177505,84.79256346108792,52.12911274647298,31.851999999999997,2020,0.36696448721315
Democratic Republic of the Congo,162.28997047989176,178.10036892481554,147.85983816695312,31.871,2020,0.376712271159843
Portugal,33.86125565209586,37.302315749286194,30.04388705935239,8.937999999999999,2020,0.741037384212082
Rwanda,35.9969560058357,42.60195148226521,23.647787226539563,34.93,2020,0.429896595971404
Togo,88.34766893826074,102.37955238164976,75.82103209952835,36.198,2020,0.402356922397572
United Arab Emirates,17.816713032045413,37.491699649381175,7.322923635350642,43.039,2020,0.846151975991622
Yemen,125.20878991474756,146.35248990107883,100.01416177910176,40.716,2020,0.44689306923482
Chad,222.68623452559905,263.88903647574097,185.9432283385852,42.565999999999995,2020,0.236103082769538
Uganda,98.79819736704,114.59272652284572,64.04049133725178,31.619,2020,0.416846079190348
Nauru,1.2365154992863605e-07,1.2365154992863558e-07,1.2365154992863558e-07,7.4079999999999995,2020,0.619330076183652
Saint Kitts and Nevis,0.0020187696295353,0.0032671554273528,0.0010199255668016,8.22,2020,0.75156840922289
