Country,COVID_Deaths_Rate,upper,lower,Mean_PM25_2010_2019,Year,SDI_mean_value
Lao People's Democratic Republic,6.867837489444666e-11,6.867837489444621e-11,6.867837489444621e-11,21.163999999999998,2020,0.484192959345392
Sri Lanka,2.8203451954449226,2.8203451954449443,2.8203451954449443,23.948,2020,0.697648535082413
Fiji,8.084884015990664,16.85940237147822,2.008245541987652,7.272,2020,0.671431490601499
Samoa,2.370316609615672e-09,2.370316609615694e-09,2.370316609615694e-09,7.623,2020,0.590075295612806
Malaysia,1.516113525530442,2.2867824282900417,0.8061216765332414,21.669999999999998,2020,0.738743992650626
Solomon Islands,7.456991808120648e-10,7.456991808120729e-10,7.456991808120729e-10,7.6579999999999995,2020,0.426112428669488
Thailand,1.1059473800668806,2.2572147553854496,0.2548063247592961,24.884,2020,0.679119989171207
Grenada,4.847486771994977e-09,4.847486771995e-09,4.847486771995e-09,10.128,2020,0.665086346623039
Tonga,4.7140027055952665e-09,4.714002705595233e-09,4.714002705595233e-09,7.261,2020,0.622104455604093
Maldives,10.344259853620644,17.7333794515417,6.423306276454724,12.867,2020,0.647608589281031
Myanmar,22.655466709767584,45.73871165436088,9.002056045326732,27.49,2020,0.529434702877063
Belgium,172.19259829491892,177.82555717597236,166.7153476758535,13.594999999999999,2020,0.851346648590241
Armenia,181.21997931575532,231.30507280473597,125.6313838977042,40.628,2020,0.69826889937921
Saint Lucia,21.3387821913364,36.96295831842605,9.356543119024105,9.093,2020,0.669720489592338
Kiribati,4.178079477637086e-09,4.1780794776370794e-09,4.1780794776370794e-09,7.551,2020,0.523454113096381
El Salvador,73.54819645663711,86.33220487354448,60.95876338874267,26.182,2020,0.558919894116032
Saint Vincent and the Grenadines,0.0015876992617067,0.0025027039116257,0.0008516372550556,9.534,2020,0.632860904072373
Mongolia,0.0408097472548202,0.0776415334494847,0.0178955915795219,47.101,2020,0.61462963730677
Timor-Leste,3.6514179644808857e-10,3.6514179644809286e-10,3.6514179644809286e-10,20.169,2020,0.442349336035765
